HDI rank,Country,GDI_Value,GDI_Group,HDI_f,HDI_m,life_expectancy_f,life_expectancy_m,Expected_years_of_schooling_f,Expected_years_of_schooling_m,Mean_ years_of_schooling_f,Mean_ years_of_schooling_m,Estimated_gross national_income_per_capita_f,Estimated_gross national_income_per_capita_m
1,Norway,0.991,1,0.945,0.953,84.2,80.5,18.6,17.2,12.6,12.5,60.153,75.731
2,Switzerland,0.987,1,0.937,0.949,85.3,81.5,16.1,16.3,13.9,12.9,47.938,67.490
3,Australia,0.975,2,0.926,0.950,85.0,81.2,23.3,22.5,12.9,12.8,35.323,51.857
4,Ireland,0.979,1,0.926,0.946,83.6,79.7,19.7,19.5,12.7,12.1,42.771,64.916
5,Germany,0.967,2,0.919,0.951,83.5,78.9,16.9,17.0,13.6,14.5,37.689,54.843
6,Iceland,0.966,2,0.920,0.952,84.4,81.5,20.5,18.2,12.3,12.7,38.004,53.562
7,Hong Kong. China (SAR),0.965,2,0.916,0.949,87.1,81.2,16.3,16.4,11.6,12.5,43.813,75.577
7,Sweden,0.992,1,0.927,0.934,84.3,80.9,18.4,16.9,12.5,12.3,41.743,53.777
9,Singapore,0.982,1,0.922,0.939,85.2,81.1,16.4,16.0,11.0,12.1,69.508,95.809
10,Netherlands,0.966,2,0.913,0.944,83.7,80.3,18.3,17.8,11.9,12.5,38.767,57.123
11,Denmark,0.980,1,0.919,0.938,82.8,79.0,19.8,18.4,12.7,12.4,40.293,55.624
12,Canada,0.986,1,0.916,0.930,84.4,80.7,16.9,16.0,13.3,12.9,34.928,52.070
13,United States,0.992,1,0.919,0.926,81.8,77.3,17.2,15.7,13.4,13.3,43.899,66.208
14,United Kingdom,0.960,2,0.903,0.941,83.4,79.9,17.9,17.0,12.8,13.5,28.043,50.485
15,Finland,1.000,1,0.917,0.917,84.3,78.7,18.4,16.9,12.6,12.3,34.504,47.691
16,New Zealand,0.966,2,0.900,0.932,83.7,80.4,19.7,18.0,12.7,12.5,25.872,42.339
17,Belgium,0.971,2,0.901,0.928,83.6,78.9,20.8,18.8,11.6,11.9,33.260,51.302
17,Liechtenstein,..,..,..,..,..,..,13.4,16.1,..,..,..,..
19,Japan,0.975,1,0.894,0.917,87.1,80.7,15.2,15.3,12.9,12.5,27.209,51.326
20,Austria,0.971,2,0.893,0.920,84.1,79.4,16.4,15.8,11.8,12.6,35.626,55.591
21,Luxembourg,0.969,2,0.888,0.916,84.1,79.8,14.1,13.9,11.7,12.4,51.154,78.737
22,Israel,0.975,2,0.890,0.913,84.3,80.9,16.5,15.3,13.0,13.0,24.620,40.910
22,Korea (Republic of),0.932,3,0.866,0.929,85.3,79.2,15.9,17.1,11.4,12.9,22.572,49.297
24,France,0.987,1,0.894,0.906,85.6,79.8,16.8,16.0,11.3,11.8,32.518,46.218
25,Slovenia,1.003,1,0.898,0.895,83.9,78.3,18.0,16.5,12.2,12.3,26.898,34.341
26,Spain,0.979,1,0.879,0.898,86.0,80.5,18.2,17.5,9.7,10.0,26.954,41.850
27,Czechia,0.986,1,0.881,0.894,81.7,76.0,17.6,16.1,12.6,13.1,23.224,38.206
28,Italy,0.967,2,0.863,0.893,85.3,80.9,16.6,15.9,10.0,10.4,25.767,45.326
29,Malta,0.960,2,0.858,0.893,82.6,79.4,16.4,15.4,11.0,11.6,24.255,44.446
30,Estonia,1.019,1,0.876,0.860,82.0,73.0,16.9,15.3,13.0,12.2,21.896,37.043
31,Greece,0.964,2,0.853,0.885,83.9,78.9,17.0,17.5,10.5,11.0,19.658,29.796
32,Cyprus,0.984,1,0.861,0.875,82.8,78.5,15.0,14.2,12.0,12.2,26.580,36.543
33,Poland,1.006,1,0.866,0.861,81.6,73.9,17.3,15.6,12.3,12.3,20.367,32.343
34,United Arab Emirates,0.968,2,0.832,0.859,78.9,76.7,14.3,13.4,11.9,9.7,24.973,84.130
35,Andorra,..,..,..,..,..,..,..,..,10.1,10.2,..,..
35,Lithuania,1.026,2,0.868,0.846,80.0,69.4,16.6,15.7,13.0,13.0,24.366,32.934
37,Qatar,1.031,2,0.870,0.843,80.0,77.6,14.8,12.0,10.8,9.5,59.164,135.961
38,Slovakia,0.991,1,0.850,0.858,80.4,73.4,15.5,14.4,12.3,12.6,22.600,36.726
39,Brunei Darussalam,0.990,1,0.846,0.854,79.1,75.8,14.8,14.1,9.0,9.1,63.939,88.204
39,Saudi Arabia,0.877,5,0.782,0.892,76.5,73.4,16.0,17.8,8.8,9.9,17.422,73.945
41,Latvia,1.030,2,0.858,0.834,79.4,69.7,16.5,15.1,13.2,12.5,20.822,29.924
41,Portugal,0.983,1,0.839,0.853,84.2,78.4,16.2,16.4,9.2,9.2,23.095,32.013
43,Bahrain,0.931,3,0.805,0.865,78.1,76.2,16.6,15.6,9.3,9.5,18.774,55.130
44,Chile,0.961,2,0.823,0.856,82.1,77.2,16.7,16.2,10.2,10.5,15.137,28.809
45,Hungary,0.985,1,0.830,0.843,79.4,72.5,15.4,14.8,11.7,12.1,19.931,31.413
46,Croatia,0.991,1,0.828,0.835,81.0,74.5,15.7,14.3,11.2,11.7,17.507,27.164
47,Argentina,0.997,1,0.816,0.819,80.4,73.0,18.7,16.2,10.1,9.7,12.395,24.789
48,Oman,0.942,3,0.781,0.829,79.7,75.6,14.7,13.4,10.4,9.2,11.246,49.282
49,Russian Federation,1.019,1,0.823,0.808,76.8,65.6,15.9,15.2,12.0,12.1,19.510,29.671
50,Montenegro,0.956,2,0.794,0.831,79.6,74.9,15.2,14.7,10.7,12.0,12.967,20.692
51,Bulgaria,0.990,1,0.808,0.816,78.4,71.5,15.0,14.6,11.9,11.8,14.777,22.930
52,Romania,0.985,1,0.804,0.817,79.0,72.1,14.6,13.9,10.6,11.3,18.217,27.358
53,Belarus,1.020,1,0.814,0.799,78.5,67.5,15.9,15.1,12.2,12.4,13.479,19.592
54,Bahamas,..,..,..,..,78.8,72.7,..,..,11.5,10.5,22.156,31.397
55,Uruguay,1.014,1,0.807,0.796,81.0,74.0,16.9,15.0,9.0,8.4,15.282,24.905
56,Kuwait,0.990,1,0.791,0.799,76.1,73.9,14.3,12.9,8.0,6.9,39.570,93.476
57,Malaysia,0.976,1,0.791,0.810,77.9,73.3,14.1,13.3,10.0,10.3,20.004,31.826
58,Barbados,1.015,1,0.805,0.792,78.4,73.6,16.7,13.9,10.6,10.4,13.509,18.384
58,Kazakhstan,1.007,1,0.801,0.795,74.8,65.3,15.5,14.8,11.8,11.7,16.814,28.815
60,Iran (Islamic Republic of),0.871,5,0.726,0.834,77.3,75.1,14.6,15.1,9.7,9.9,6.094,32.017
60,Palau,..,..,..,..,..,..,17.8,16.5,..,..,..,..
62,Seychelles,..,..,..,..,78.6,69.5,15.3,14.3,..,..,..,..
63,Costa Rica,0.974,2,0.779,0.800,82.4,77.7,15.8,14.9,8.8,8.5,10.419,18.851
64,Turkey,0.922,4,0.755,0.819,79.2,72.8,14.7,15.7,7.1,8.8,15.576,34.313
65,Mauritius,0.968,2,0.773,0.799,78.4,71.4,15.5,14.6,9.1,9.5,12.558,27.986
66,Panama,0.988,1,0.782,0.791,81.3,75.3,13.3,12.1,10.4,9.9,13.229,25.102
67,Serbia,0.976,1,0.777,0.796,78.2,72.5,15.1,14.2,10.7,11.6,10.672,15.474
68,Albania,0.970,2,0.772,0.796,80.6,76.5,15.0,14.4,9.8,10.2,9.702,14.028
69,Trinidad and Tobago,1.013,1,0.794,0.784,74.4,67.4,14.4,12.5,11.0,10.8,22.008,35.435
70,Antigua and Barbuda,..,..,..,..,78.9,74.0,13.9,12.6,..,..,..,..
70,Georgia,0.975,1,0.766,0.786,77.6,69.2,15.3,14.8,12.8,12.8,6.177,12.481
72,Saint Kitts and Nevis,..,..,..,..,..,..,14.6,14.3,..,..,..,..
73,Cuba,0.942,3,0.751,0.797,81.9,78.0,14.3,13.7,11.6,12.1,5.001,10.045
74,Mexico,0.954,2,0.752,0.789,79.7,74.9,14.4,13.8,8.4,8.8,11.065,22.873
75,Grenada,..,..,..,..,76.3,71.4,17.4,16.3,..,..,..,..
76,Sri Lanka,0.935,3,0.738,0.789,78.8,72.1,14.1,13.6,10.3,11.4,6.462,16.581
77,Bosnia and Herzegovina,0.924,4,0.739,0.800,79.6,74.6,14.9,14.5,8.6,10.9,7.723,15.856
78,Venezuela (Bolivarian Republic of),1.011,1,0.762,0.754,78.9,70.8,15.4,13.2,10.7,10.0,7.401,13.976
79,Brazil,0.992,1,0.755,0.761,79.3,72.1,15.9,14.9,8.0,7.7,10.073,17.566
80,Azerbaijan,0.949,3,0.734,0.773,75.2,69.1,12.6,12.7,10.5,11.0,10.089,21.152
80,Lebanon,0.889,5,0.701,0.788,81.6,78.2,12.4,12.7,8.5,8.9,5.523,21.182
80,The former Yugoslav Republic of Macedonia,0.946,3,0.731,0.773,77.9,73.9,13.5,13.2,8.9,9.9,9.114,15.897
83,Armenia,0.969,2,0.740,0.764,77.8,71.4,13.4,12.6,11.7,11.7,6.358,12.281
83,Thailand,0.996,1,0.753,0.756,79.3,71.8,14.8,14.5,7.4,7.8,13.793,17.327
85,Algeria,0.861,5,0.680,0.791,77.6,75.1,14.6,14.1,7.6,8.6,4.232,23.181
86,China,0.955,2,0.735,0.769,78.0,74.9,14.0,13.6,7.6,8.3,12.053,18.295
86,Ecuador,0.978,1,0.741,0.757,79.3,73.9,15.4,13.9,8.6,8.8,7.388,13.307
88,Ukraine,0.993,1,0.746,0.751,76.9,67.1,15.2,14.8,11.3,11.3,6.082,10.513
89,Peru,0.950,3,0.728,0.766,77.9,72.6,13.9,13.6,8.7,9.7,8.446,15.140
90,Colombia,0.997,1,0.747,0.749,78.2,71.0,14.9,14.3,8.5,8.1,10.271,15.692
90,Saint Lucia,0.993,1,0.744,0.749,78.4,73.0,13.9,13.3,9.4,8.7,9.388,14.101
92,Fiji,..,..,..,..,73.6,67.5,..,..,10.9,10.7,5.604,10.963
92,Mongolia,1.023,1,0.750,0.733,73.7,65.4,15.9,15.0,10.6,9.8,8.482,11.759
94,Dominican Republic,0.989,1,0.728,0.736,77.3,71.0,14.5,13.0,8.1,7.5,8.909,18.975
95,Jordan,0.857,5,0.658,0.767,76.3,72.8,13.4,12.9,10.1,10.6,2.459,13.971
95,Tunisia,0.897,5,0.684,0.762,78.0,73.9,15.8,14.4,6.4,7.9,4.537,16.152
97,Jamaica,0.988,1,0.731,0.739,78.5,73.7,14.4,12.8,10.0,9.5,5.898,9.812
98,Tonga,0.960,2,0.707,0.736,76.2,70.2,14.6,14.0,11.2,11.1,3.769,7.314
99,Saint Vincent and the Grenadines,..,..,..,..,75.6,71.2,13.4,13.1,..,..,7.643,13.306
100,Suriname,0.975,2,0.705,0.723,74.9,68.4,13.0,12.0,8.3,8.6,9.132,17.449
101,Botswana,0.976,1,0.707,0.725,70.2,64.9,12.8,12.5,9.2,9.5,12.613,18.521
101,Maldives,0.919,4,0.679,0.739,78.8,76.7,12.7,12.6,6.2,6.4,7.064,18.501
103,Dominica,..,..,..,..,..,..,..,..,..,..,..,..
104,Samoa,..,..,..,..,78.5,72.3,12.9,12.1,..,..,3.778,7.909
105,Uzbekistan,0.945,3,0.687,0.726,74.2,68.6,11.8,12.2,11.2,11.8,4.687,8.264
106,Belize,0.979,1,0.699,0.714,73.6,67.9,13.0,12.7,10.5,10.4,5.689,8.655
106,Marshall Islands,..,..,..,..,..,..,..,..,10.7,11.1,..,..
108,Libya,0.929,3,0.668,0.719,75.1,69.3,13.6,13.2,7.7,7.0,4.623,17.472
108,Turkmenistan,..,..,..,..,71.4,64.5,10.5,11.1,..,..,11.240,20.083
110,Gabon,0.911,4,0.670,0.735,68.2,64.9,12.5,13.4,7.4,9.1,11.789,20.825
110,Paraguay,0.972,2,0.690,0.710,75.5,71.1,13.2,12.2,8.4,8.3,6.212,10.486
112,Moldova (Republic of),1.005,1,0.701,0.698,76.0,67.4,11.9,11.4,11.5,11.7,4.849,6.318
113,Philippines,1.000,1,0.699,0.698,72.8,65.9,12.9,12.3,9.5,9.2,7.582,10.705
113,South Africa,0.984,1,0.692,0.704,67.0,59.9,13.7,13.1,9.9,10.4,9.060,14.894
115,Egypt,0.872,5,0.636,0.729,74.0,69.5,13.1,13.1,6.5,7.9,4.081,16.489
116,Indonesia,0.932,3,0.666,0.715,71.6,67.3,12.8,12.8,7.5,8.4,7.259,14.385
116,Viet Nam,1.005,1,0.696,0.692,81.0,71.8,12.9,12.5,7.9,8.5,5.345,6.383
118,Bolivia (Plurinational State of),0.929,3,0.665,0.716,72.1,67.0,14.0,14.0,8.2,9.7,4.686,8.737
119,Palestine. State of,0.877,5,0.623,0.710,75.6,71.8,13.7,12.0,8.9,9.3,1.802,8.216
120,Iraq,0.823,5,0.603,0.733,72.3,67.8,10.1,12.0,5.4,7.8,6.039,29.250
121,El Salvador,0.969,2,0.663,0.684,78.1,69.1,12.5,12.8,6.7,7.3,5.226,8.722
122,Kyrgyzstan,0.960,2,0.654,0.681,75.1,67.1,13.7,13.2,10.9,10.8,2.159,4.369
123,Morocco,0.838,5,0.598,0.713,77.2,74.9,12.0,12.8,4.5,6.5,3.197,11.561
124,Nicaragua,0.966,2,0.642,0.665,78.6,72.6,12.3,11.8,6.9,6.4,3.434,6.930
125,Cabo Verde,0.949,3,0.632,0.666,74.9,70.9,12.8,12.1,5.9,6.4,4.295,7.683
125,Guyana,0.948,3,0.631,0.666,69.2,64.5,11.7,11.0,8.5,8.4,4.543,10.295
127,Guatemala,0.948,3,0.630,0.665,76.8,70.4,10.7,10.9,6.4,6.5,4.768,9.869
127,Tajikistan,0.933,3,0.624,0.669,74.4,68.4,10.5,11.9,10.7,10.2,2.233,4.392
129,Namibia,1.014,1,0.651,0.642,67.7,61.8,12.4,12.2,7.2,6.6,8.895,9.907
130,India,0.841,5,0.575,0.683,70.4,67.3,12.9,11.9,4.8,8.2,2.722,9.729
131,Micronesia (Federated States of),..,..,..,..,70.5,68.1,..,..,..,..,..,..
132,Timor-Leste,0.855,5,0.567,0.663,71.1,67.4,12.3,13.2,3.6,5.3,3.301,10.282
133,Honduras,0.978,1,0.608,0.622,76.3,71.2,10.7,9.8,6.6,6.5,3.277,5.159
134,Bhutan,0.893,5,0.576,0.645,70.9,70.3,12.4,12.2,2.1,4.2,6.002,9.889
134,Kiribati,..,..,..,..,69.8,63.2,13.4,12.6,..,..,..,..
136,Bangladesh,0.881,5,0.567,0.644,74.6,71.2,11.7,11.3,5.2,6.7,2.041,5.285
137,Congo,0.934,3,0.583,0.624,66.7,63.5,11.2,11.5,5.5,6.7,4.905,6.483
138,Vanuatu,..,..,..,..,74.7,70.2,10.4,11.1,..,..,2.340,3.635
139,Lao People's Democratic Republic,0.934,3,0.579,0.621,68.6,65.4,10.9,11.5,4.6,5.7,5.354,6.789
140,Ghana,0.910,4,0.563,0.619,64.1,62.0,11.5,11.8,6.3,7.9,3.349,4.849
141,Equatorial Guinea,..,..,..,..,59.4,56.7,..,..,4.0,7.3,14.869,23.258
142,Kenya,0.931,3,0.568,0.610,69.7,64.9,11.7,12.5,5.7,7.1,2.529,3.398
143,Sao Tome and Principe,0.892,5,0.550,0.617,68.9,64.6,12.6,12.4,5.6,7.1,1.780,4.112
144,Eswatini (Kingdom of),0.943,3,0.568,0.603,61.3,54.9,10.8,11.6,6.1,6.9,5.722,9.641
144,Zambia,0.941,3,0.569,0.605,65.0,59.6,12.0,13.0,6.5,7.4,2.986,4.138
146,Cambodia,0.914,4,0.553,0.605,71.3,67.1,11.2,12.2,3.8,5.6,2.970,3.878
147,Angola,..,..,..,..,64.7,59.0,11.0,12.7,..,..,5.063,6.546
148,Myanmar,0.959,2,0.563,0.586,69.1,64.4,10.3,9.8,4.9,4.8,3.860,7.355
149,Nepal,0.925,4,0.552,0.598,72.2,69.0,12.6,11.8,3.6,6.4,2.219,2.738
150,Pakistan,0.750,5,0.465,0.620,67.7,65.6,7.8,9.3,3.8,6.5,1.642,8.786
151,Cameroon,0.866,5,0.513,0.593,59.7,57.5,11.3,13.0,4.7,7.6,2.751,3.878
152,Solomon Islands,..,..,..,..,72.6,69.5,9.7,10.7,..,..,1.450,2.281
153,Papua New Guinea,..,..,..,..,68.3,63.3,..,..,3.8,5.3,3.002,3.789
154,Tanzania (United Republic of),0.928,3,0.517,0.557,68.1,64.6,8.6,9.3,5.4,6.2,2.282,3.037
155,Syrian Arab Republic,0.788,5,0.443,0.563,77.4,65.4,8.7,8.8,4.6,5.6,561,4.077
156,Zimbabwe,0.924,4,0.513,0.555,63.5,59.8,10.2,10.5,7.5,8.9,1.431,1.948
157,Nigeria,0.868,5,0.494,0.569,54.7,53.1,9.2,10.8,5.0,7.3,4.433,6.008
158,Rwanda,0.941,3,0.508,0.540,69.6,65.3,11.2,11.2,3.7,4.7,1.568,2.064
159,Lesotho,1.004,1,0.519,0.516,56.7,52.2,11.0,10.2,7.0,5.5,2.608,3.940
159,Mauritania,0.845,5,0.470,0.556,64.9,61.9,8.5,8.6,3.5,5.5,1.936,5.221
161,Madagascar,0.962,2,0.511,0.531,67.9,64.7,10.5,10.6,6.7,6.1,1.173,1.544
162,Uganda,0.865,5,0.475,0.550,62.4,58.0,11.0,12.2,4.7,7.2,1.212,2.109
163,Benin,0.875,5,0.479,0.547,62.7,59.6,11.1,14.0,3.0,4.3,1.795,2.329
164,Senegal,0.911,4,0.481,0.528,69.4,65.4,10.0,9.3,2.4,3.8,1.691,3.101
165,Comoros,0.876,5,0.465,0.531,65.7,62.2,11.1,11.4,3.7,5.6,1.027,1.764
165,Togo,0.822,5,0.446,0.542,61.3,59.6,10.0,13.2,3.3,6.5,1.265,1.643
167,Sudan,0.831,5,0.446,0.537,66.3,63.1,7.2,7.7,3.1,4.1,1.785,6.455
168,Afghanistan,0.625,5,0.364,0.583,65.4,62.8,8.0,12.7,1.9,6.0,541,3.030
168,Haiti,..,..,..,..,65.8,61.4,..,..,4.3,6.6,1.400,1.937
170,Côte d'Ivoire,0.841,5,0.446,0.531,55.7,52.7,8.1,10.0,4.0,6.2,2.529,4.409
171,Malawi,0.936,3,0.460,0.492,66.2,61.0,10.9,10.8,4.0,5.1,897,1.235
172,Djibouti,..,..,..,..,64.4,61.0,5.8,6.7,..,..,2.491,4.286
173,Ethiopia,0.846,5,0.424,0.501,67.8,64.0,8.2,9.1,1.6,3.8,1.304,2.136
174,Gambia,0.890,5,0.434,0.487,62.8,60.1,9.3,9.2,2.9,4.3,1.168,1.870
175,Guinea,0.810,5,0.411,0.507,61.2,60.1,7.8,10.4,1.5,3.9,1.804,2.328
176,Congo (Democratic Republic of the),0.852,5,0.420,0.493,61.5,58.5,8.7,10.6,5.3,8.4,703,889
177,Guinea-Bissau,..,..,..,..,59.5,56.0,..,..,..,..,1.269,1.843
178,Yemen,0.425,5,0.223,0.524,66.6,63.7,7.6,10.3,1.9,4.2,149,2.308
179,Eritrea,..,..,..,..,67.7,63.4,4.9,5.8,..,..,1.451,2.048
180,Mozambique,0.904,4,0.414,0.458,61.0,56.7,9.2,10.2,2.5,4.6,1.052,1.135
181,Liberia,0.846,5,0.398,0.470,64.0,62.0,9.3,10.6,3.5,6.1,577,755
182,Mali,0.811,5,0.380,0.469,59.2,57.7,6.8,8.6,1.7,3.0,1.345,2.560
183,Burkina Faso,0.870,5,0.393,0.452,61.4,60.0,8.3,8.8,1.0,2.0,1.289,2.014
184,Sierra Leone,0.872,5,0.389,0.446,52.8,51.6,9.3,10.2,2.7,4.3,1.096,1.387
185,Burundi,1.002,1,0.419,0.418,59.9,55.9,11.3,12.1,2.7,3.7,807,594
186,Chad,0.775,5,0.350,0.452,54.5,52.0,6.4,9.5,1.2,3.4,1.412,2.088
187,South Sudan,0.826,5,0.348,0.422,58.3,56.3,3.8,6.3,4.0,5.3,843,1.083
188,Central African Republic,0.780,5,0.319,0.409,54.8,51.0,5.9,8.5,3.0,5.6,521,809
189,Niger,0.812,5,0.317,0.391,61.5,59.4,4.7,6.0,1.5,2.6,691,1.119